1/2/2026,"           ACH PAYMENT TO EVERBANK-MTG PYMT YPEP80664 SYSTEM GENERATED","-8,096.56","18,430.77"
1/5/2026,"           ACH CORP TRADE PAYMENT FROM Amazon Web Servi YPEP13292 SYSTEM GENERATED","-540.91","26,771.46"
1/30/2026,"           ACH DEPOSIT FROM AMAZON WEB SERVI-PAYROLL YPEP26972 SYSTEM GENERATED","5,000.00","31,771.46"
2/2/2026,"           ACH PAYMENT TO EVERBANK-MTG PYMT YPEP71084 SYSTEM GENERATED","-8,096.56","23,674.90"
2/27/2026,"           ACH DEPOSIT FROM AMAZON WEB SERVI-PAYROLL YPEP28631 SYSTEM GENERATED","5,000.00","28,674.90"
3/2/2026,"           ACH PAYMENT TO EVERBANK-MTG PYMT YPEP78666 SYSTEM GENERATED","-8,382.66","20,292.24"
3/31/2026,"           ACH DEPOSIT FROM AMAZON WEB SERVI-PAYROLL YPEP18575 SYSTEM GENERATED","5,000.00","25,292.24"
4/1/2026,"           ACH PAYMENT TO EVERBANK-MTG PYMT YPEP52259 SYSTEM GENERATED","-8,382.66","16,909.58"
4/20/2026,"           ACH PAYMENT TO CHASE CREDIT CRD-EPAY YPEP51245 SYSTEM GENERATED","-1,581.20","15,328.38"
4/30/2026,"           ACH DEPOSIT FROM AMAZON WEB SERVI-PAYROLL YPEP21269 SYSTEM GENERATED","5,000.00","20,328.38"
